"StartYear","Count"
"1867",2
"1868",10
"1869",6
"1870",6
"1871",48
"1872",43
"1873",34
"1874",36
"1875",52
"1876",37
"1877",42
"1878",44
"1879",51
"1880",59
"1881",65
"1882",69
"1883",50
"1884",87
"1885",71
"1886",85
"1887",87
"1888",110
"1889",81
"1890",84
"1891",125
"1892",76
"1893",113
"1894",87
"1895",88
"1896",159
"1897",77
"1898",67
"1899",144
"1900",110
"1901",88
"1902",71
"1903",169
"1904",124
"1905",145
"1906",114
"1907",118
"1908",146
"1909",90
"1910",225
"1911",128
"1912",156
"1913",146
"1914",80
"1915",12
"1916",10
"1917",16
"1918",34
"1919",90
"1920",237
"1921",157
"1922",120
"1923",141
"1924",172
"1925",129
"1926",114
"1927",138
"1928",160
"1929",147
"1930",156
"1931",151
"1932",108
"1933",100
"1934",112
"1935",111
"1936",102
"1937",109
"1938",163
"1939",77
"1940",45
"1941",34
"1942",34
"1943",28
"1944",37
"1945",93
"1946",142
"1947",218
"1948",120
"1949",176
"1950",165
"1951",167
"1952",129
"1953",155
"1954",131
"1955",186
"1956",121
"1957",133
"1958",157
"1959",141
"1960",140
"1961",153
"1962",184
"1963",153
"1964",115
"1965",128
"1966",166
"1967",183
"1968",191
"1969",171
"1970",174
"1971",218
"1972",216
"1973",198
"1974",226
"1975",194
"1976",199
"1977",213
"1978",208
"1979",248
"1980",368
"1981",254
"1982",238
"1983",278
"1984",289
"1985",324
"1986",362
"1987",345
"1988",378
"1989",384
"1990",526
"1991",422
"1992",499
"1993",553
"1994",506
"1995",1125
"1996",1014
"1997",1039
"1998",1042
"1999",1081
"2000",1268
"2001",1361
"2002",1412
"2003",1603
"2004",1868
"2005",2169
"2006",2367
"2007",2476
"2008",2509
"2009",2682
"2010",2849
"2011",2883
"2012",3015
"2013",3270
"2014",3431
"2015",3118
"2016",3554
"2017",3351
"2018",3160
"2019",2783
"2020",2402
"2021",2648
"2022",2558
"2023",1829
"2024",1567
"2025",774
"2026",41
"2027",1
NA,9785
