"playerId"  , "playerName"                    , "teamWdId"  , "teamRsId", "teamName"                                       , "startYear", "endYear", "matchesPlayed", "pointsScored", "dataSource"
"Q285739"   , "Valentin Ursache"              , NA          , "7049"    , "Ciorogarla RC"                                  , "2001"     , "2002"   , NA             , NA            , "frWP"
"Q285739"   , "Valentin Ursache"              , "Q5014418"  , "1039"    , "CSU Aurel Vlaicu Arad"                          , "2002"     , "2003"   , NA             , NA            , "frWP"
"Q285739"   , "Valentin Ursache"              , "Q5014418"  , "1039"    , "CSU Aurel Vlaicu Arad"                          , "2003"     , "2007"   , NA             , NA            , "enWP; frWP; esWP; WD; itWP"
"Q285739"   , "Valentin Ursache"              , "Q967505"   , "190"     , "Romania national rugby union team"              , "2004"     , "2018"   , "66"           , "20"          , "WD; frWP; enWP; itWP"
"Q285739"   , "Valentin Ursache"              , "Q2289327"  , "343"     , "CSA Steaua București"                           , "2007"     , "2008"   , NA             , NA            , "frWP; enWP"
"Q285739"   , "Valentin Ursache"              , "Q2932002"  , "447"     , "CSM Baia Mare"                                  , "2008"     , "2010"   , NA             , NA            , "frWP; enWP"
"Q285739"   , "Valentin Ursache"              , "Q951242"   , "181"     , "Provence Rugby"                                 , "2010"     , "2012"   , "35"           , "25"          , "WD; frWP; itWP; esWP; enWP"
"Q285739"   , "Valentin Ursache"              , "Q636019"   , "92"      , "Oyonnax Rugby"                                  , "2012"     , "2022"   , "211"          , "70"          , "WD; frWP; itWP; esWP; enWP"
"Q350967"   , "Luke McAlister"                , "Q7016267"  , "1565"    , "New Zealand national under-21 rugby union team" , "2002"     , "2004"   , "8"            , "67"          , "enWP"
"Q350967"   , "Luke McAlister"                , "Q104855944", "2904"    , "North Harbour Rugby Union Team"                 , "2002"     , "2011"   , "52"           , "461"         , "jaWP; frWP; enWP; itWP; esWP"
"Q350967"   , "Luke McAlister"                , "Q1156303"  , "232"     , "Blues"                                          , "2002"     , "2011"   , "51"           , "389"         , "WD; frWP; itWP; esWP; jaWP; enWP"
"Q350967"   , "Luke McAlister"                , "Q749756"   , "124"     , "New Zealand A national rugby union team"        , "2005"     , "2005"   , "3"            , "17"          , "enWP"
"Q350967"   , "Luke McAlister"                , "Q55801"    , "6"       , "New Zealand national rugby union team"          , "2005"     , "2009"   , "31"           , "153"         , "WD; frWP; itWP; enWP"
"Q350967"   , "Luke McAlister"                , "Q1490464"  , "271"     , "Maori All Blacks team"                          , "2005"     , "2010"   , "5"            , "38"          , "frWP; enWP"
"Q350967"   , "Luke McAlister"                , "Q928517"   , "164"     , "Sale Sharks"                                    , "2007"     , "2009"   , "36"           , "204"         , "WD; frWP; itWP; esWP; enWP"
"Q350967"   , "Luke McAlister"                , "Q104855944", "2904"    , "North Harbour Rugby Union Team"                 , "2009"     , "2011"   , "15"           , "33"          , "frWP; itWP"
"Q350967"   , "Luke McAlister"                , "Q1156303"  , "232"     , "Blues"                                          , "2009"     , "2011"   , "21"           , "150"         , "WD; frWP; itWP; esWP"
"Q350967"   , "Luke McAlister"                , "Q431412"   , "44"      , "Stade Toulousain"                               , "2011"     , "2017"   , "143"          , "806"         , "WD; frWP; itWP; esWP; enWP"
"Q350967"   , "Luke McAlister"                , "Q1857064"  , "315"     , "RC Toulonnais"                                  , "2017"     , "2018"   , "4"            , "6"           , "enWP; jaWP; frWP; itWP"
"Q350967"   , "Luke McAlister"                , "Q297901"   , "27"      , "ASM Clermont Auvergne"                          , "2018"     , "2018"   , "9"            , "18"          , "enWP; jaWP; frWP; itWP"
