"rugbyscopeId","wikidataId","fullName","type","inceptionDate","terminationDate","altNames","affiliations","countries","competitions","tier","homeVenueNames","homeVenueCapacities","locations","allRugbyIds","googleKnowlIds","wikipediaEn","wikipediaFr","wikipediaIt","wikipediaEs","wikipediaJa","dbpediaId","comments"
2292,"Q16992237","Flintshire Falcons","Club",NA,NA,"The Falcons; ; Flintshire Falcons Rugby League Football Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flintshire_Falcons",NA,NA,NA,NA,"http://dbpedia.org/resource/Flintshire_Falcons","Rugby league team"
2340,"Q17056542","CS Universitatea Cluj-Napoca","Club","1919-01-01",NA,"Clubul Sportiv Universitatea Cluj-Napoca; CSU Cluj-Napoca",NA,"Romania",NA,NA,NA,NA,"Cluj-Napoca",NA,NA,"CS_Universitatea_Cluj-Napoca","CS_Universitatea_Cluj-Napoca",NA,NA,NA,NA,"Merged with 1041"
3150,"Q122765722","Old Boys & Old Girls Club","Club",NA,NA,"The British Schools Old Boys & Old Girls Club",NA,"Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,"Old_Boys_%26_Old_Girls_Club",NA,NA,NA,NA,"Merged with 226"
3176,"Q124754949","Newport Gwent Dragons","Club",NA,NA,NA,NA,"Wales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 7"
4522,NA,"Biscarrosse Olympique","Club",NA,NA,NA,NA,"France","Fédérale 3 - Poule 12",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 2930"
4691,NA,"SA Vierzonnais","Club",NA,NA,NA,NA,"France","Régionale 1 - Ligue Centre-Val de Loire",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 4541"
4666,NA,"US Deux Ponts","Club",NA,NA,NA,NA,"France","Régionale 1 - Ligue Auvergne-Rhône-Alpes",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 4608"
4709,NA,"Stade Villeneuvois Lille Metropole","Club",NA,NA,NA,NA,"France","Régionale 1 - Ligue Hauts-de-France",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 4510"
4713,NA,"CA Orsay Rugby Club","Club",NA,NA,NA,NA,"France","Régionale 1 - Ligue Île-de-France",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 4495"
5379,NA,"Rugby Club Jacou Montpellier Nord","Club",NA,NA,NA,NA,"France","Régionale 3 - Ligue Occitanie",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 4614"
5880,NA,"Dargaville High School","Club",NA,NA,NA,NA,"New Zealand","Northland Rugby Union League",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school team"
5889,NA,"Kamo High School","Club",NA,NA,NA,NA,"New Zealand","Northland Rugby Union League",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school team"
5891,NA,"Kerikeri High School","Club",NA,NA,NA,NA,"New Zealand","Northland Rugby Union League",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school team"
5913,NA,"Whang'rei Boys' High School","Club",NA,NA,NA,NA,"New Zealand","Northland Rugby Union League",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school team"
5988,NA,"Hawera High School","Club",NA,NA,NA,NA,"New Zealand","Taranaki Rugby Football Union League",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school team"
5989,NA,"Inglewood High School","Club",NA,NA,NA,NA,"New Zealand","Taranaki Rugby Football Union League",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school team"
5993,NA,"New Plymouth Boys' High School","Club",NA,NA,NA,NA,"New Zealand","Taranaki Rugby Football Union League",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school team"
6008,NA,"Waitara High School","Club",NA,NA,NA,NA,"New Zealand","Taranaki Rugby Football Union League",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school team"
6150,NA,"CRC Caerdydd RFC","Club",NA,NA,NA,NA,"Wales","WRU Division Six Central",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 2791"
6906,NA,"Kindai University",NA,NA,NA,"近畿大学",NA,"Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"%E8%BF%91%E7%95%BF%E5%A4%A7%E5%AD%A6",NA,"Merged with 2097"
6912,NA,"Auckland University of Technology","Club",NA,NA,"オークランド工業大学",NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 6866"
6922,NA,"Club Deportivo Universidad Católica","Club",NA,NA,"CSウニベルシダ・カトリーナ",NA,"Chile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with 1415"
