origWdId,origName,jaName,wpPage,stepType,timePeriod,teamName,teamWP,matchesPlayed,pointsScored
Q26037,Quade Cooper,クウェイド・クーパー,%E3%82%AF%E3%82%A6%E3%82%A7%E3%82%A4%E3%83%89%E3%83%BB%E3%82%AF%E3%83%BC%E3%83%91%E3%83%BC,Amateur,2018,サウス,https://en.wikipedia.org/wiki/Souths_Rugby,11,57
Q26037,Quade Cooper,クウェイド・クーパー,%E3%82%AF%E3%82%A6%E3%82%A7%E3%82%A4%E3%83%89%E3%83%BB%E3%82%AF%E3%83%BC%E3%83%91%E3%83%BC,Senior,2007,イーストコースト,https://en.wikipedia.org/wiki/Queensland_Country_(NRC_team),8,5
Q26037,Quade Cooper,クウェイド・クーパー,%E3%82%AF%E3%82%A6%E3%82%A7%E3%82%A4%E3%83%89%E3%83%BB%E3%82%AF%E3%83%BC%E3%83%91%E3%83%BC,Senior,2014–2018,ブリスベン・シティ,https://en.wikipedia.org/wiki/Brisbane_City_(rugby_union),16,142
Q26037,Quade Cooper,クウェイド・クーパー,%E3%82%AF%E3%82%A6%E3%82%A7%E3%82%A4%E3%83%89%E3%83%BB%E3%82%AF%E3%83%BC%E3%83%91%E3%83%BC,Senior,2015–2016,RCトゥーロン,/wiki/RC%E3%83%88%E3%82%A5%E3%83%BC%E3%83%AD%E3%83%B3,15,10
Q26037,Quade Cooper,クウェイド・クーパー,%E3%82%AF%E3%82%A6%E3%82%A7%E3%82%A4%E3%83%89%E3%83%BB%E3%82%AF%E3%83%BC%E3%83%91%E3%83%BC,Senior,2019–,花園L,/wiki/%E8%8A%B1%E5%9C%92%E8%BF%91%E9%89%84%E3%83%A9%E3%82%A4%E3%83%8A%E3%83%BC%E3%82%BA,23,172
Q26037,Quade Cooper,クウェイド・クーパー,%E3%82%AF%E3%82%A6%E3%82%A7%E3%82%A4%E3%83%89%E3%83%BB%E3%82%AF%E3%83%BC%E3%83%91%E3%83%BC,Senior,2006–2017,レッズ,/wiki/%E3%83%AC%E3%83%83%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC),119,846
Q26037,Quade Cooper,クウェイド・クーパー,%E3%82%AF%E3%82%A6%E3%82%A7%E3%82%A4%E3%83%89%E3%83%BB%E3%82%AF%E3%83%BC%E3%83%91%E3%83%BC,Senior,2019,レベルズ,/wiki/%E3%83%AC%E3%83%99%E3%83%AB%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC),16,116
Q26037,Quade Cooper,クウェイド・クーパー,%E3%82%AF%E3%82%A6%E3%82%A7%E3%82%A4%E3%83%89%E3%83%BB%E3%82%AF%E3%83%BC%E3%83%91%E3%83%BC,International,2008,U20オーストラリア,/wiki/U-20%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%AA%E3%83%BC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%AA%E3%82%A2%E4%BB%A3%E8%A1%A8,5,46
Q26037,Quade Cooper,クウェイド・クーパー,%E3%82%AF%E3%82%A6%E3%82%A7%E3%82%A4%E3%83%89%E3%83%BB%E3%82%AF%E3%83%BC%E3%83%91%E3%83%BC,International,2008–,オーストラリア,/wiki/%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%AA%E3%83%BC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%AA%E3%82%A2%E4%BB%A3%E8%A1%A8,79,208
Q31193,Ben Smith,ベン・スミス,%E3%83%99%E3%83%B3%E3%83%BB%E3%82%B9%E3%83%9F%E3%82%B9_(%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%E3%81%AE%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E9%81%B8%E6%89%8B),Senior,2019-2020,ポー,/wiki/%E3%82%BB%E3%82%AF%E3%82%B7%E3%82%AA%E3%83%B3%E3%83%BB%E3%83%91%E3%83%AD%E3%83%AF%E3%83%BC%E3%82%BA,6,0
Q31193,Ben Smith,ベン・スミス,%E3%83%99%E3%83%B3%E3%83%BB%E3%82%B9%E3%83%9F%E3%82%B9_(%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%E3%81%AE%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E9%81%B8%E6%89%8B),Senior,2020-2022,神戸S,/wiki/%E3%82%B3%E3%83%99%E3%83%AB%E3%82%B3%E7%A5%9E%E6%88%B8%E3%82%B9%E3%83%86%E3%82%A3%E3%83%BC%E3%83%A9%E3%83%BC%E3%82%BA,11,10
Q31193,Ben Smith,ベン・スミス,%E3%83%99%E3%83%B3%E3%83%BB%E3%82%B9%E3%83%9F%E3%82%B9_(%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%E3%81%AE%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E9%81%B8%E6%89%8B),Senior,2009-2019,ハイランダーズ,/wiki/%E3%83%8F%E3%82%A4%E3%83%A9%E3%83%B3%E3%83%80%E3%83%BC%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC),153,200
Q31193,Ben Smith,ベン・スミス,%E3%83%99%E3%83%B3%E3%83%BB%E3%82%B9%E3%83%9F%E3%82%B9_(%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%E3%81%AE%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E9%81%B8%E6%89%8B),Regional,2007-2012,オタゴ,,44,55
Q31193,Ben Smith,ベン・スミス,%E3%83%99%E3%83%B3%E3%83%BB%E3%82%B9%E3%83%9F%E3%82%B9_(%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%E3%81%AE%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E9%81%B8%E6%89%8B),International,2009-2019,ニュージーランド,/wiki/%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%E4%BB%A3%E8%A1%A8,84,195
Q46171,Pekahou Cowan,ペッカフォウ・カーワン,%E3%83%9A%E3%83%83%E3%82%AB%E3%83%95%E3%82%A9%E3%82%A6%E3%83%BB%E3%82%AB%E3%83%BC%E3%83%AF%E3%83%B3,Senior,,パース・スピリット; 清水建設,; /wiki/%E3%83%96%E3%83%AB%E3%83%BC%E3%82%B7%E3%83%A3%E3%83%BC%E3%82%AF%E3%82%B9,,
Q46171,Pekahou Cowan,ペッカフォウ・カーワン,%E3%83%9A%E3%83%83%E3%82%AB%E3%83%95%E3%82%A9%E3%82%A6%E3%83%BB%E3%82%AB%E3%83%BC%E3%83%AF%E3%83%B3,Senior,,フォース,/wiki/%E3%82%A6%E3%82%A7%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%BB%E3%83%95%E3%82%A9%E3%83%BC%E3%82%B9,,
Q46171,Pekahou Cowan,ペッカフォウ・カーワン,%E3%83%9A%E3%83%83%E3%82%AB%E3%83%95%E3%82%A9%E3%82%A6%E3%83%BB%E3%82%AB%E3%83%BC%E3%83%AF%E3%83%B3,International,2009-,オーストラリア,/wiki/%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%AA%E3%83%BC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%AA%E3%82%A2%E4%BB%A3%E8%A1%A8,10,0
Q72185,Manu Tuilagi,マヌ・トゥイランギ,%E3%83%9E%E3%83%8C%E3%83%BB%E3%83%88%E3%82%A5%E3%82%A4%E3%83%A9%E3%83%B3%E3%82%AE,Senior,2009-2020,レスター,/wiki/%E3%83%AC%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%BB%E3%82%BF%E3%82%A4%E3%82%AC%E3%83%BC%E3%82%B9,128,205
Q72185,Manu Tuilagi,マヌ・トゥイランギ,%E3%83%9E%E3%83%8C%E3%83%BB%E3%83%88%E3%82%A5%E3%82%A4%E3%83%A9%E3%83%B3%E3%82%AE,Senior,2020-,セール,/wiki/%E3%82%BB%E3%83%BC%E3%83%AB%E3%83%BB%E3%82%B7%E3%83%A3%E3%83%BC%E3%82%AF%E3%82%B9,38,15
Q72185,Manu Tuilagi,マヌ・トゥイランギ,%E3%83%9E%E3%83%8C%E3%83%BB%E3%83%88%E3%82%A5%E3%82%A4%E3%83%A9%E3%83%B3%E3%82%AE,International,2011-,イングランド,/wiki/%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A4%E3%83%B3%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%89%E4%BB%A3%E8%A1%A8,59,100
Q72185,Manu Tuilagi,マヌ・トゥイランギ,%E3%83%9E%E3%83%8C%E3%83%BB%E3%83%88%E3%82%A5%E3%82%A4%E3%83%A9%E3%83%B3%E3%82%AE,International,2013,B&Iライオンズ,/wiki/%E3%83%96%E3%83%AA%E3%83%86%E3%82%A3%E3%83%83%E3%82%B7%E3%83%A5%E3%83%BB%E3%82%A2%E3%83%B3%E3%83%89%E3%83%BB%E3%82%A2%E3%82%A4%E3%83%AA%E3%83%83%E3%82%B7%E3%83%A5%E3%83%BB%E3%83%A9%E3%82%A4%E3%82%AA%E3%83%B3%E3%82%BA,1,0
Q113526,Adriaan Strauss,アドリアン・ストラウス,%E3%82%A2%E3%83%89%E3%83%AA%E3%82%A2%E3%83%B3%E3%83%BB%E3%82%B9%E3%83%88%E3%83%A9%E3%82%A6%E3%82%B9,Senior,,ブルー・ブルズ; フリーステイト・チーターズ,/wiki/%E3%83%96%E3%83%AB%E3%83%BC%E3%83%BB%E3%83%96%E3%83%AB%E3%82%BA; /wiki/%E3%83%95%E3%83%AA%E3%83%BC%E3%82%B9%E3%83%86%E3%82%A4%E3%83%88%E3%83%BB%E3%83%81%E3%83%BC%E3%82%BF%E3%83%BC%E3%82%BA,,
Q113526,Adriaan Strauss,アドリアン・ストラウス,%E3%82%A2%E3%83%89%E3%83%AA%E3%82%A2%E3%83%B3%E3%83%BB%E3%82%B9%E3%83%88%E3%83%A9%E3%82%A6%E3%82%B9,Senior,"2006,2015-2018; 2007-2014",ブルズ; チーターズ,/wiki/%E3%83%96%E3%83%AB%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC); /wiki/%E3%83%81%E3%83%BC%E3%82%BF%E3%83%BC%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC),59; 74,55; 40
Q113526,Adriaan Strauss,アドリアン・ストラウス,%E3%82%A2%E3%83%89%E3%83%AA%E3%82%A2%E3%83%B3%E3%83%BB%E3%82%B9%E3%83%88%E3%83%A9%E3%82%A6%E3%82%B9,International,2008-,南アフリカ,/wiki/%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E5%8D%97%E3%82%A2%E3%83%95%E3%83%AA%E3%82%AB%E5%85%B1%E5%92%8C%E5%9B%BD%E4%BB%A3%E8%A1%A8,66,30
Q127613,Patrick Lambie,パトリック・ランビー,%E3%83%91%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E3%83%BB%E3%83%A9%E3%83%B3%E3%83%93%E3%83%BC,Senior,,シャークス; ラシン92,/wiki/%E3%82%B7%E3%83%A3%E3%83%BC%E3%82%AF%E3%82%B9_(%E3%82%AB%E3%83%AA%E3%83%BC%E3%82%AB%E3%83%83%E3%83%97); /wiki/%E3%83%A9%E3%82%B7%E3%83%B392,,
Q127613,Patrick Lambie,パトリック・ランビー,%E3%83%91%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E3%83%BB%E3%83%A9%E3%83%B3%E3%83%93%E3%83%BC,Senior,2010-2017,シャークス,/wiki/%E3%82%B7%E3%83%A3%E3%83%BC%E3%82%AF%E3%82%B9_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC),71,757
Q127613,Patrick Lambie,パトリック・ランビー,%E3%83%91%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E3%83%BB%E3%83%A9%E3%83%B3%E3%83%93%E3%83%BC,International,2008-2016,南アフリカ共和国,/wiki/%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E5%8D%97%E3%82%A2%E3%83%95%E3%83%AA%E3%82%AB%E5%85%B1%E5%92%8C%E5%9B%BD%E4%BB%A3%E8%A1%A8,56,153
