origWdId,origName,esName,wpPage,startYear,endYear,teamName,teamWP,matchesPlayed,pointsScored
Q7571,Patricio Albacete,Patricio Albacete,Patricio_Albacete,2003,,Argentina,/wiki/Selecci%C3%B3n_de_rugby_de_la_Argentina,57,5
Q7571,Patricio Albacete,Patricio Albacete,Patricio_Albacete,1999,2003,Club Manuel Belgrano ,,,
Q7571,Patricio Albacete,Patricio Albacete,Patricio_Albacete,2003,2004,US Colomiers,/wiki/Union_sportive_Colomiers_rugby,,
Q7571,Patricio Albacete,Patricio Albacete,Patricio_Albacete,2004,2006,Section Paloise,/wiki/Section_Paloise,,
Q7571,Patricio Albacete,Patricio Albacete,Patricio_Albacete,2006,2017,Stade Toulousain,/wiki/Stade_Toulousain,,
Q7571,Patricio Albacete,Patricio Albacete,Patricio_Albacete,2017,2018,Racing 92 ,,,
Q18455,Ben Tune,Ben Tune,Ben_Tune,,,Australia,/wiki/Selecci%C3%B3n_de_rugby_de_Australia,46,
Q18455,Ben Tune,Ben Tune,Ben_Tune,1995,2007,Queensland RU ,,,
Q18455,Ben Tune,Ben Tune,Ben_Tune,1996,2007,Queensland Reds,/wiki/Queensland_Reds,,
Q26037,Quade Cooper,Quade Cooper,Quade_Cooper,,,Australia,/wiki/Selecci%C3%B3n_de_rugby_de_Australia,73,177
Q26037,Quade Cooper,Quade Cooper,Quade_Cooper,2007,,East Coast Aces,/w/index.php?title=East_Coast_Aces&action=edit&redlink=1,,
Q26037,Quade Cooper,Quade Cooper,Quade_Cooper,2007,15,Reds,/wiki/Queensland_Reds,,
Q26037,Quade Cooper,Quade Cooper,Quade_Cooper,2014,,Brisbane City,/w/index.php?title=Brisbane_City_(rugby)&action=edit&redlink=1,,
Q26037,Quade Cooper,Quade Cooper,Quade_Cooper,2015,,Toulon,/wiki/RC_Toulonnais,,
Q31193,Ben Smith,Ben Smith,Ben_Smith,,,Nueva Zelanda,/wiki/Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda,84,195
Q31193,Ben Smith,Ben Smith,Ben_Smith,2008,2009,Otago,/w/index.php?title=Otago_(rugby)&action=edit&redlink=1,,
Q31193,Ben Smith,Ben Smith,Ben_Smith,2009,2019,Highlanders,/wiki/Highlanders_(rugby),,
Q31193,Ben Smith,Ben Smith,Ben_Smith,2019,2020,Section Paloise,/wiki/Section_Paloise,,
Q31193,Ben Smith,Ben Smith,Ben_Smith,2021,,Kobelco Steelers,/wiki/Kobelco_Steelers,,
Q72185,Manu Tuilagi,Manu Tuilagi,Manu_Tuilagi,,,Inglaterra,/wiki/Selecci%C3%B3n_de_rugby_de_Inglaterra,60,100
Q72185,Manu Tuilagi,Manu Tuilagi,Manu_Tuilagi,2010,2020,Leicester Tigers,/wiki/Leicester_Tigers,,
Q72185,Manu Tuilagi,Manu Tuilagi,Manu_Tuilagi,2020,2024,Sale Sharks,/wiki/Sale_Sharks,,
Q72185,Manu Tuilagi,Manu Tuilagi,Manu_Tuilagi,2024,Act.,Aviron Bayonnais,/wiki/Aviron_Bayonnais,,
Q76869,Toby Flood,Toby Flood,Toby_Flood,,,Inglaterra,/wiki/Selecci%C3%B3n_de_rugby_de_Inglaterra,60,
Q76869,Toby Flood,Toby Flood,Toby_Flood,2004,2008,Newcastle Falcons,/wiki/Newcastle_Falcons,,
Q76869,Toby Flood,Toby Flood,Toby_Flood,2008,2014,Leicester Tigers,/wiki/Leicester_Tigers,,
Q76869,Toby Flood,Toby Flood,Toby_Flood,2014,,Stade Toulousain,/wiki/Stade_Toulousain,,
Q94780,Joe Rokocoko,Joe Rokocoko,Joe_Rokocoko,,,Nueva Zelanda,/wiki/Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda,68,
Q94780,Joe Rokocoko,Joe Rokocoko,Joe_Rokocoko,2003,2011,Blues,/wiki/Blues_(rugby),,
Q94780,Joe Rokocoko,Joe Rokocoko,Joe_Rokocoko,2011,2015,Aviron Bayonnais,/wiki/Aviron_Bayonnais,,
Q94780,Joe Rokocoko,Joe Rokocoko,Joe_Rokocoko,2015,,Racing Métro 92,/wiki/Racing_M%C3%A9tro_92,,
Q113526,Adriaan Strauss,Adriaan Strauss,Adriaan_Strauss,,,Sudáfrica,/wiki/Selecci%C3%B3n_de_rugby_de_Sud%C3%A1frica,66,30
Q113526,Adriaan Strauss,Adriaan Strauss,Adriaan_Strauss,2004,06,Blue Bulls,/wiki/Blue_Bulls,,
Q113526,Adriaan Strauss,Adriaan Strauss,Adriaan_Strauss,2007,14,Cheetahs,/wiki/Free_State_Cheetahs,,
Q113526,Adriaan Strauss,Adriaan Strauss,Adriaan_Strauss,2015,2018,Blue Bulls,/wiki/Blue_Bulls,,
Q127613,Patrick Lambie,Patrick Lambie,Patrick_Lambie,2010,,Sudáfrica,/wiki/Selecci%C3%B3n_de_rugby_de_Sud%C3%A1frica,56,153
Q127613,Patrick Lambie,Patrick Lambie,Patrick_Lambie,2010,2017,Sharks ,,,
Q127613,Patrick Lambie,Patrick Lambie,Patrick_Lambie,2017,2019,Racing 92 ,,,
Q127618,Chris Ashton,Chris Ashton,Chris_Ashton,,,Inglaterra,/wiki/Selecci%C3%B3n_de_rugby_de_Inglaterra,39,
Q127618,Chris Ashton,Chris Ashton,Chris_Ashton,2007,2012,Northampton Saints,/wiki/Northampton_Saints,,
Q127618,Chris Ashton,Chris Ashton,Chris_Ashton,2012,2017,Saracens,/wiki/Saracens,,
Q127618,Chris Ashton,Chris Ashton,Chris_Ashton,2017,,Toulon,/wiki/Rugby-Club_Toulonnais,,
Q128407,Martín Bustos Moyano,Bustos Moyano,Mart%C3%ADn_Bustos_Moyano,,,Argentina,/wiki/Selecci%C3%B3n_de_rugby_de_Argentina,4,43
Q128407,Martín Bustos Moyano,Bustos Moyano,Mart%C3%ADn_Bustos_Moyano,2004,2009,Córdoba Athletic Club,/wiki/C%C3%B3rdoba_Athletic_Club,,
Q128407,Martín Bustos Moyano,Bustos Moyano,Mart%C3%ADn_Bustos_Moyano,2009,2010,Pampas XV,/wiki/Pampas_XV,,
Q128407,Martín Bustos Moyano,Bustos Moyano,Mart%C3%ADn_Bustos_Moyano,2010,2013,Montpellier,/wiki/Montpellier_H%C3%A9rault_Rugby_Club,,
Q128407,Martín Bustos Moyano,Bustos Moyano,Mart%C3%ADn_Bustos_Moyano,2013,2019,Aviron Bayonnais,/wiki/Aviron_Bayonnais,,
Q135385,Israel Dagg,Israel Dagg,Israel_Dagg,2010,,Nueva Zelanda,/wiki/Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda,66,138
Q135385,Israel Dagg,Israel Dagg,Israel_Dagg,2006,2015,Hawke's Bay Rugby ,,,
Q135385,Israel Dagg,Israel Dagg,Israel_Dagg,2009,2010,Highlanders,/wiki/Highlanders_(rugby),,
Q135385,Israel Dagg,Israel Dagg,Israel_Dagg,2011,2019,Crusaders ,,,
Q135385,Israel Dagg,Israel Dagg,Israel_Dagg,2018,,Canon Eagles,/w/index.php?title=Canon_Eagles&action=edit&redlink=1,,
Q138586,Gurthrö Steenkamp,Gurthrö Steenkamp,Gurthr%C3%B6_Steenkamp,,,Sudáfrica,/wiki/Selecci%C3%B3n_de_rugby_de_Sud%C3%A1frica,53,
Q138586,Gurthrö Steenkamp,Gurthrö Steenkamp,Gurthr%C3%B6_Steenkamp,2002,2004,Free State Cheetahs ,,,
Q138586,Gurthrö Steenkamp,Gurthrö Steenkamp,Gurthr%C3%B6_Steenkamp,2005,2010,Bulls,/wiki/Bulls_(rugby),,
Q138586,Gurthrö Steenkamp,Gurthrö Steenkamp,Gurthr%C3%B6_Steenkamp,2011,2017,Stade Toulousain,/wiki/Stade_Toulousain,,
Q138586,Gurthrö Steenkamp,Gurthrö Steenkamp,Gurthr%C3%B6_Steenkamp,2017,2018,Stade Français Paris,/wiki/Stade_Fran%C3%A7ais_Paris,,
Q138722,Stephen Donald,Stephen Donald,Stephen_Donald,,,Nueva Zelanda,/wiki/Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda,23,
Q138722,Stephen Donald,Stephen Donald,Stephen_Donald,2002,2003,Counties Manukau RU ,,,
Q138722,Stephen Donald,Stephen Donald,Stephen_Donald,2004,2011,Waikato RU ,,,
Q138722,Stephen Donald,Stephen Donald,Stephen_Donald,2005,2011,Chiefs,/wiki/Chiefs_(rugby),,
Q138722,Stephen Donald,Stephen Donald,Stephen_Donald,2012,2013,Bath Rugby,/wiki/Bath_Rugby,,
